timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
1696249220739,0.049560547,-0.10357666,-0.99664307,-0.21875,-0.234375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249220767,0.04321289,-0.097717285,-1.0003052,-0.21875,-0.15625,0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249220814,0.04736328,-0.10211182,-0.99957275,-0.34375,0.0,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249220860,0.040283203,-0.10040283,-0.9998169,-0.0625,-0.09375,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249220916,0.038330078,-0.09991455,-1.0027466,-0.265625,-0.28125,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249220962,0.044677734,-0.10089111,-0.99420166,-0.25,-0.515625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249220972,0.040527344,-0.09698486,-1.000061,-0.1875,-0.546875,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249221007,0.042236328,-0.09844971,-0.99468994,0.125,-0.4375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249221072,0.040039062,-0.09967041,-0.9981079,-0.40625,-0.375,-0.359375,Respeck,Lying down on stomach,-1,s2091784,
1696249221082,0.041015625,-0.09503174,-0.9961548,-0.390625,-0.515625,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249221126,0.040771484,-0.09820557,-0.99713135,-0.34375,-0.5625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249221174,0.041015625,-0.10040283,-0.9956665,-0.171875,-0.5,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249221202,0.040527344,-0.09942627,-1.0015259,-0.25,-0.40625,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249221247,0.04321289,-0.101135254,-1.005188,-0.265625,-0.375,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249221292,0.03881836,-0.10015869,-0.99298096,-0.203125,-0.453125,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249221322,0.03881836,-0.09820557,-1.0032349,-0.3125,-0.40625,0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249221367,0.034179688,-0.097473145,-0.99713135,-0.328125,-0.796875,0.015625,Respeck,Lying down on stomach,-1,s2091784,
