timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,recording_id
1695301283287,-0.7128906,-0.123046875,-0.51953125,251.75,-80.65625,-71.6875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283327,0.69628906,1.2929688,-0.29003906,31.90625,7.25,38.84375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283367,1.7900391,-0.16113281,-1.9082031,46.875,179.1875,-9.71875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283407,-0.5625,-0.15722656,1.1455078,-163.9375,150.875,38.71875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283447,-1.8535156,-1.5087891,-1.9248047,-213.4375,9.125,-163.96875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283487,0.6123047,2.0117188,-0.12011719,153.6875,-69.34375,-4.40625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283527,0.2705078,0.4189453,-0.29492188,-337.03125,56.125,131.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283567,-1.9873047,0.63964844,-1.9248047,-36.8125,207.125,443.9375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283607,-1.9873047,-1.3378906,1.1611328,282.40625,180.84375,-13.625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283647,-1.2597656,-0.3798828,1.0791016,-21.875,181.0,36.59375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301283687,0.38183594,-1.1494141,0.68359375,-79.78125,46.1875,11.3125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
